,OBJECTID,Reference,Sampling_Date,Latitude,Longitude,Gear,Scientificname,Commonname,TotalNum,avg_size,min_size,max_size,ExDate
122,1555255,TBM1996022014,1996-02-19 19:00:00,27.945333,-82.641333,300,Chaetodipterus faber,Atlantic Spadefish,1,55,55,55,2018-04-12 06:25:31
123,1555256,TBM1996022014,1996-02-19 19:00:00,27.945333,-82.641333,300,Farfantepenaeus duorarum,Pink Shrimp,2,28,18,38,2018-04-12 06:25:31
124,1555257,TBM1996022102,1996-02-20 19:00:00,27.88,-82.6015,300,Chilomycterus schoepfii,Striped Burrfish,6,165,149,190,2018-04-12 06:25:31
125,1555258,TBM1996022103,1996-02-20 19:00:00,27.889167,-82.545,20,Syngnathus scovelli,Gulf Pipefish,1,81,81,81,2018-04-12 06:25:31
126,1555259,TBM1996022104,1996-02-20 19:00:00,27.870167,-82.540833,20,Lagodon rhomboides,Pinfish,29,16,12,22,2018-04-12 06:25:31
127,1555299,TBM1996032006,1996-03-19 19:00:00,27.9105,-82.620167,300,Rhinobatos lentiginosus,Atlantic Guitarfish,1,630,630,630,2018-04-12 06:25:31
128,1555302,TBM1996032016,1996-03-19 19:00:00,27.8275,-82.593833,22,Microgobius gulosus,Clown Goby,2,37,35,40,2018-04-12 06:25:31
129,1555303,TBM1996032204,1996-03-21 19:00:00,27.958167,-82.571,20,Gobiosoma robustum,Code Goby,4,17,16,20,2018-04-12 06:25:31
130,1555304,TBM1996032205,1996-03-21 19:00:00,27.946333,-82.5445,20,Gobiosoma robustum,Code Goby,6,20,17,30,2018-04-12 06:25:31
131,1555305,TBM1996032205,1996-03-21 19:00:00,27.946333,-82.5445,20,Leiostomus xanthurus,Spot,96,39,29,50,2018-04-12 06:25:31
132,1555306,TBM1996032206,1996-03-21 19:00:00,27.934667,-82.548667,300,Prionotus scitulus,Leopard Searobin,4,60,59,63,2018-04-12 06:25:31
133,1555307,TBM1996032209,1996-03-21 19:00:00,27.970167,-82.640833,300,Urophycis floridana,Southern Hake,1,178,178,178,2018-04-12 06:25:31
134,1555323,TBM1996041709,1996-04-16 20:00:00,27.944833,-82.544167,20,Syngnathus scovelli,Gulf Pipefish,3,89,86,92,2018-04-12 06:25:31
135,1555965,TBM1996032004,1996-03-19 19:00:00,27.855333,-82.5545,22,Floridichthys carpio,Goldspotted Killifish,3,45,40,49,2018-04-12 06:25:29
136,1555967,TBM1996032006,1996-03-19 19:00:00,27.9105,-82.620167,300,Ariopsis felis,Hardhead Catfish,5,141,95,315,2018-04-12 06:25:29
137,1555968,TBM1996032006,1996-03-19 19:00:00,27.9105,-82.620167,300,Prionotus scitulus,Leopard Searobin,5,60,48,78,2018-04-12 06:25:29
138,1555972,TBM1996032209,1996-03-21 19:00:00,27.970167,-82.640833,300,Prionotus scitulus,Leopard Searobin,6,77,46,105,2018-04-12 06:25:29
139,1555973,TBM1996032209,1996-03-21 19:00:00,27.970167,-82.640833,300,Trinectes maculatus,Hogchoker,1,73,73,73,2018-04-12 06:25:29
140,1555992,TBM1996041703,1996-04-16 20:00:00,27.986667,-82.6335,300,Callinectes sapidus,Blue Crab,6,91,57,110,2018-04-12 06:25:29
141,1555993,TBM1996041703,1996-04-16 20:00:00,27.986667,-82.6335,300,Syngnathus scovelli,Gulf Pipefish,1,83,83,83,2018-04-12 06:25:29
142,1555995,TBM1996041709,1996-04-16 20:00:00,27.944833,-82.544167,20,Syngnathus louisianae,Chain Pipefish,1,65,65,65,2018-04-12 06:25:29
143,1556025,TBM1996042601,1996-04-25 20:00:00,27.982667,-82.6925,160,Dasyatis sabina,Atlantic Stingray,4,166,155,190,2018-04-12 06:25:30
144,1556026,TBM1996042602,1996-04-25 20:00:00,27.955667,-82.719833,160,Ariopsis felis,Hardhead Catfish,24,298,260,345,2018-04-12 06:25:30
145,1556034,TBM1996051402,1996-05-13 20:00:00,28.028,-82.679333,20,Microgobius gulosus,Clown Goby,12,27,18,57,2018-04-12 06:25:30
146,1556038,TBM1996051405,1996-05-13 20:00:00,27.962167,-82.597833,300,Anchoa mitchilli,Bay Anchovy,2,51,47,55,2018-04-12 06:25:30
147,1556039,TBM1996051405,1996-05-13 20:00:00,27.962167,-82.597833,300,Cynoscion arenarius,Sand Seatrout,74,21,11,195,2018-04-12 06:25:30
148,1556040,TBM1996051407,1996-05-13 20:00:00,27.915333,-82.605167,300,Bagre marinus,Gafftopsail Catfish,1,322,322,322,2018-04-12 06:25:30
149,1556041,TBM1996051407,1996-05-13 20:00:00,27.915333,-82.605167,300,Chilomycterus schoepfii,Striped Burrfish,3,172,150,185,2018-04-12 06:25:30
150,1556042,TBM1996051408,1996-05-13 20:00:00,27.891167,-82.639167,20,Cynoscion nebulosus,Spotted Seatrout,1,15,15,15,2018-04-12 06:25:30
151,1556043,TBM1996051408,1996-05-13 20:00:00,27.891167,-82.639167,20,Microgobius gulosus,Clown Goby,17,17,13,23,2018-04-12 06:25:30
152,1556046,TBM1996051412,1996-05-13 20:00:00,27.926667,-82.706667,22,Mugil cephalus,Striped Mullet,1,368,368,368,2018-04-12 06:25:30
153,1556047,TBM1996051416,1996-05-13 20:00:00,27.960333,-82.698833,20,Menidia spp.,Menidia Silversides,37,29,17,43,2018-04-12 06:25:30
154,1556052,TBM1996051502,1996-05-14 20:00:00,27.9105,-82.6265,160,Paralichthys albigutta,Gulf Flounder,1,295,295,295,2018-04-12 06:25:30
155,1556053,TBM1996051505,1996-05-14 20:00:00,27.942,-82.545333,160,Callinectes sapidus,Blue Crab,10,114,85,145,2018-04-12 06:25:30
156,1556054,TBM1996051505,1996-05-14 20:00:00,27.942,-82.545333,160,Oligoplites saurus,Leatherjacket,1,155,155,155,2018-04-12 06:25:30
157,1556057,TBM1996051508,1996-05-14 20:00:00,28.004167,-82.655667,160,Ariopsis felis,Hardhead Catfish,1,315,315,315,2018-04-12 06:25:30
158,1556058,TBM1996051508,1996-05-14 20:00:00,28.004167,-82.655667,160,Rhinoptera bonasus,Cownose Ray,1,750,750,750,2018-04-12 06:25:30
159,1556059,TBM1996051508,1996-05-14 20:00:00,28.004167,-82.655667,160,Strongylura notata,Redfin Needlefish,7,355,332,385,2018-04-12 06:25:30
160,1556143,TBM1996061301,1996-06-12 20:00:00,27.874667,-82.602167,160,Dasyatis sabina,Atlantic Stingray,2,296,280,312,2018-04-12 06:25:30
161,1556144,TBM1996061304,1996-06-12 20:00:00,27.872833,-82.609833,160,Lagodon rhomboides,Pinfish,12,83,71,92,2018-04-12 06:25:30
162,1556157,TBM1996061402,1996-06-13 20:00:00,27.982333,-82.692667,160,Strongylura notata,Redfin Needlefish,1,358,358,358,2018-04-12 06:25:30
163,1556175,TBM1996042601,1996-04-25 20:00:00,27.982667,-82.6925,160,Bagre marinus,Gafftopsail Catfish,1,405,405,405,2018-04-12 06:25:31
164,1556176,TBM1996042601,1996-04-25 20:00:00,27.982667,-82.6925,160,Strongylura notata,Redfin Needlefish,7,343,328,362,2018-04-12 06:25:31
165,1556177,TBM1996042602,1996-04-25 20:00:00,27.955667,-82.719833,160,Centropomus undecimalis,Common Snook,1,504,504,504,2018-04-12 06:25:31
166,1556178,TBM1996042603,1996-04-25 20:00:00,27.909667,-82.643333,160,Sciaenops ocellatus,Red Drum,10,388,318,500,2018-04-12 06:25:31
167,1556191,TBM1996051405,1996-05-13 20:00:00,27.962167,-82.597833,300,Prionotus scitulus,Leopard Searobin,9,86,71,109,2018-04-12 06:25:31
168,1556192,TBM1996051407,1996-05-13 20:00:00,27.915333,-82.605167,300,Achirus lineatus,Lined Sole,2,54,53,55,2018-04-12 06:25:31
169,1556195,TBM1996051415,1996-05-13 20:00:00,27.936333,-82.676167,300,Callinectes sapidus,Blue Crab,10,110,85,146,2018-04-12 06:25:31
170,1556196,TBM1996051415,1996-05-13 20:00:00,27.936333,-82.676167,300,Lagodon rhomboides,Pinfish,7,53,46,68,2018-04-12 06:25:31
171,1556199,TBM1996051502,1996-05-14 20:00:00,27.9105,-82.6265,160,Mugil trichodon,Fantail Mullet,3,191,133,225,2018-04-12 06:25:31
172,1556200,TBM1996051505,1996-05-14 20:00:00,27.942,-82.545333,160,Dasyatis sabina,Atlantic Stingray,8,265,201,353,2018-04-12 06:25:31
